id;title;length;year;reals;actors;genres;boxoffice
204;Bienvenue Ã  Zombieland;88;2009;"Ruben Fleischer
";Jesse Eisenberg, Emma Stone, Woody Harrelson;Comedie, Horreur;
205;Les Croods;98;2013;"Kirk De Micco
, Chris Sanders
";Nicolas Cage, Ryan Reynolds, Emma Stone;Animation, Aventure, Comedie;
206;Stand by me - Compte sur moi;89;1986;"Rob Reiner
";Wil Wheaton, River Phoenix, Corey Feldman;Aventure, Drame;
207;Dragons;98;2010;"Dean DeBlois
, Chris Sanders
";Jay Baruchel, Gerard Butler, Christopher Mintz-Plasse;Animation, Aventure, Comedie;
208;Pearl Harbor;183;2001;"Michael Bay
";Ben Affleck, Kate Beckinsale, Josh Hartnett;Action, Drame, Romantique;
209;Troie;163;2004;"Wolfgang Petersen
";Brad Pitt, Eric Bana, Orlando Bloom;Aventure;
210;Blue Jasmine;98;2013;"Woody Allen
";Cate Blanchett, Alec Baldwin, Peter Sarsgaard;Comedie, Drame;
211;Taxi Driver;113;1976;"Martin Scorsese
";Robert De Niro, Jodie Foster, Cybill Shepherd;Crime, Drame;
212;Stuck in Love;97;2012;"Josh Boone
";Greg Kinnear, Jennifer Connelly, Lily Collins;Comedie, Drame, Romantique;
213;La cabane dans les bois;95;2012;"Drew Goddard
";Kristen Connolly, Chris Hemsworth, Anna Hutchison;Horreur, MystÃ¨re, Thriller;
214;LÃ©on;110;1994;"Luc Besson
";Jean Reno, Gary Oldman, Natalie Portman;Crime, Drame, Thriller;
215;My Movie Project;94;2013;"Elizabeth Banks
, Steven Brill
, Steve Carr
, Rusty Cundieff
, James Duffy
, Griffin Dunne
, Peter Farrelly
, Patrik Forsberg
, Will Graham
, James Gunn
, Brett Ratner
, Jonathan van Tulleken
, Bob Odenkirk
";Emma Stone, Stephen Merchant, Richard Gere;Comedie;
216;Le Mytho - Just Go with It;117;2011;"Dennis Dugan
";Adam Sandler, Jennifer Aniston, Brooklyn Decker;Comedie, Romantique;
217;Harry Potter et la coupe de feu;157;2005;"Mike Newell
";Daniel Radcliffe, Emma Watson, Rupert Grint;Aventure, Familliale, Fantastique;
218;Pirates des CaraÃ¯bes, la malÃ©diction du Black Pearl;143;2003;"Gore Verbinski
";Johnny Depp, Geoffrey Rush, Orlando Bloom;Action, Aventure, Fantastique;
219;G.I. Joe - Le rÃ©veil du Cobra;118;2009;"Stephen Sommers
";Dennis Quaid, Channing Tatum, Marlon Wayans;Action, Aventure, Science-Fiction;
220;Hot Fuzz;121;2007;"Edgar Wright
";Simon Pegg, Nick Frost, Martin Freeman;Comedie;
221;Jobs;128;2013;"Joshua Michael Stern
";Ashton Kutcher, Dermot Mulroney, Josh Gad;Biopic, Drame;
222;American Psycho;102;2000;"Mary Harron
";Christian Bale, Justin Theroux, Josh Lucas;Crime, Drame;
223;I, Frankenstein;92;2014;"Stuart Beattie
";Aaron Eckhart, Bill Nighy, Miranda Otto;Action, Fantastique, Science-Fiction;
224;Hairspray;117;2007;"Adam Shankman
";John Travolta, Queen Latifah, Nikki Blonsky;Comedie, Musical, Romantique;
225;The Social Network;120;2010;"David Fincher
";Jesse Eisenberg, Andrew Garfield, Justin Timberlake;Biopic, Drame;
226;Ce que pensent les hommes;129;2009;"Ken Kwapis
";Jennifer Aniston, Jennifer Connelly, Morgan Lily;Comedie, Drame, Romantique;
227;X-Men origines: Wolverine;107;2009;"Gavin Hood
";Hugh Jackman, Liev Schreiber, Ryan Reynolds;Action, Aventure, Science-Fiction;
228;Ted;106;2012;"Seth MacFarlane
";Mark Wahlberg, Mila Kunis, Seth MacFarlane;Comedie, Fantastique;
229;Star Trek;127;2009;"J.J. Abrams
";Chris Pine, Zachary Quinto, Simon Pegg;Action, Aventure, Science-Fiction;
230;Warrior;140;2011;"Gavin O'Connor
";Tom Hardy, Nick Nolte, Joel Edgerton;Drame, Sport;
231;MillÃ©nium: Les hommes qui n'aimaient pas les femmes;158;2011;"David Fincher
";Daniel Craig, Rooney Mara, Christopher Plummer;Crime, Drame, MystÃ¨re;
232;Seven;127;1995;"David Fincher
";Morgan Freeman, Brad Pitt, Kevin Spacey;Crime, MystÃ¨re, Thriller;
233;Burlesque;119;2010;"Steve Antin
";Cher, Christina Aguilera, Alan Cumming;Drame, Musical, Romantique;
234;Retour vers le futur;116;1985;"Robert Zemeckis
";Michael J. Fox, Christopher Lloyd, Lea Thompson;Aventure, Comedie, Science-Fiction;
235;Savages;131;2012;"Oliver Stone
";Aaron Taylor-Johnson, Taylor Kitsch, Blake Lively;Crime, Drame, Thriller;
236;V pour vendetta;132;2005;"James McTeigue
";Hugo Weaving, Natalie Portman, Rupert Graves;Action, Science-Fiction, Thriller;
237;Battleship;131;2012;"Peter Berg
";Alexander SkarsgÃ¥rd, Brooklyn Decker, Liam Neeson;Action, Aventure, Science-Fiction;
238;No Country for Old Men - Non, ce pays n'est pas pour le vieil homme;122;2007;"Ethan Coen
, Joel Coen
";Tommy Lee Jones, Javier Bardem, Josh Brolin;Crime, Drame, Thriller;
239;All Is Lost;106;2013;"J.C. Chandor
";Robert Redford;Action, Aventure, Drame;
240;Ghost Bastards - Putain de fantÃ´me;86;2013;"Michael Tiddes
";Marlon Wayans, Essence Atkins, Marlene Forte;Comedie, Horreur;
241;Kick-Ass;117;2010;"Matthew Vaughn
";Aaron Taylor-Johnson, Nicolas Cage, ChloÃ« Grace Moretz;Action, Comedie;
242;Taken;93;2008;"Pierre Morel
";Liam Neeson, Maggie Grace, Famke Janssen;Action, Crime, Thriller;
243;Into the Wild;148;2007;"Sean Penn
";Emile Hirsch, Vince Vaughn, Catherine Keener;Aventure, Biopic, Drame;
244;Pirates des CaraÃ¯bes - La fontaine de jouvence;136;2011;"Rob Marshall
";Johnny Depp, PenÃ©lope Cruz, Ian McShane;Action, Aventure, Fantastique;
245;No pain no gain;129;2013;"Michael Bay
";Mark Wahlberg, Dwayne Johnson, Anthony Mackie;Action, Comedie, Crime;
246;Le monde de Nemo;100;2003;"Andrew Stanton
, Lee Unkrich
";Albert Brooks, Ellen DeGeneres, Alexander Gould;Animation, Aventure, Comedie;
247;Very Bad Trip;100;2009;"Todd Phillips
";Zach Galifianakis, Bradley Cooper, Justin Bartha;Comedie;
248;Harry Potter et le prisonnier d'Azkaban;142;2004;"Alfonso CuarÃ³n
";Daniel Radcliffe, Emma Watson, Rupert Grint;Aventure, Familliale, Fantastique;
249;Trainspotting;94;1996;"Danny Boyle
";Ewan McGregor, Ewen Bremner, Jonny Lee Miller;Drame;
250;American Pie;95;1999;"Paul Weitz
, Chris Weitz
";Jason Biggs, Chris Klein, Thomas Ian Nicholas;Comedie, Romantique;
251;Les indestructibles;115;2004;"Brad Bird
";Craig T. Nelson, Samuel L. Jackson, Holly Hunter;Animation, Action, Aventure;
252;Le dernier pub avant la fin du monde;109;2013;"Edgar Wright
";Simon Pegg, Nick Frost, Martin Freeman;Action, Comedie, Science-Fiction;
253;Il Ã©tait une fois...;107;2007;"Kevin Lima
";Amy Adams, Susan Sarandon, James Marsden;Comedie, Familliale, Fantastique;
254;Les mondes de Ralph;108;2012;"Rich Moore
";John C. Reilly, Jack McBrayer, Jane Lynch;Animation, Aventure, Comedie;
255;Drive;100;2011;"Nicolas Winding Refn
";Ryan Gosling, Carey Mulligan, Bryan Cranston;Crime, Drame;
256;Star Wars: Ã‰pisode III - La revanche des Sith;140;2005;"George Lucas
";Hayden Christensen, Natalie Portman, Ewan McGregor;Action, Aventure, Fantastique;
257;Shining;144;1980;"Stanley Kubrick
";Jack Nicholson, Shelley Duvall, Danny Lloyd;Horreur;
258;Kill Bill: Volume 1;111;2003;"Quentin Tarantino
";Uma Thurman, David Carradine, Daryl Hannah;Action, Crime;
259;La chute de la Maison Blanche;119;2013;"Antoine Fuqua
";Gerard Butler, Aaron Eckhart, Morgan Freeman;Action, Thriller;
260;The Big Lebowski;117;1998;"Joel Coen
, Ethan Coen
";Jeff Bridges, John Goodman, Julianne Moore;Comedie, Crime;
261;La chasse;115;2012;"Thomas Vinterberg
";Mads Mikkelsen, Thomas Bo Larsen, Annika Wedderkopp;Drame;
262;Argo;120;2012;"Ben Affleck
";Ben Affleck, Bryan Cranston, John Goodman;Biopic, Drame, Historique;
263;Orange mÃ©canique;136;1971;"Stanley Kubrick
";Malcolm McDowell, Patrick Magee, Michael Bates;Crime, Drame, Science-Fiction;
264;Shutter Island;138;2010;"Martin Scorsese
";Leonardo DiCaprio, Emily Mortimer, Mark Ruffalo;MystÃ¨re, Thriller;
265;Alice au pays des merveilles;108;2010;"Tim Burton
";Mia Wasikowska, Johnny Depp, Helena Bonham Carter;Aventure, Familliale, Fantastique;
266;Ben-Hur;212;1959;"William Wyler
";Charlton Heston, Jack Hawkins, Stephen Boyd;Aventure, Drame;
267;Green Lantern;114;2011;"Martin Campbell
";Ryan Reynolds, Blake Lively, Peter Sarsgaard;Action, Aventure, Science-Fiction;
268;Boogie Nights;155;1997;"Paul Thomas Anderson
";Mark Wahlberg, Julianne Moore, Burt Reynolds;Drame;
269;Warm Bodies - Renaissance;98;2013;"Jonathan Levine
";Nicholas Hoult, Teresa Palmer, John Malkovich;Comedie, Horreur, Romantique;
270;Looper;119;2012;"Rian Johnson
";Joseph Gordon-Levitt, Bruce Willis, Emily Blunt;Action, Crime, Science-Fiction;
271;Monuments Men;118;2014;"George Clooney
";George Clooney, Matt Damon, Bill Murray;Biopic, Drame, Guerre;
272;En cloque, mode d'emploi;129;2007;"Judd Apatow
";Seth Rogen, Katherine Heigl, Paul Rudd;Comedie, Drame, Romantique;
273;Machete Kills;107;2013;"Robert Rodriguez
";Danny Trejo, Alexa PenaVega, Mel Gibson;Action, Crime, Thriller;
274;La citÃ© de Dieu;130;2002;"Fernando Meirelles
, KÃ¡tia Lund
";Alexandre Rodrigues, Matheus Nachtergaele, Leandro Firmino;Crime, Drame;
275;Charlie et la chocolaterie;115;2005;"Tim Burton
";Johnny Depp, Freddie Highmore, David Kelly;Aventure, Comedie, Familliale;
276;"Orgueil &amp; prÃ©jugÃ©s";129;2005;"Joe Wright
";Keira Knightley, Matthew Macfadyen, Brenda Blethyn;Drame, Romantique;
277;Les cinq lÃ©gendes;97;2012;"Peter Ramsey
";Hugh Jackman, Alec Baldwin, Isla Fisher;Animation, Aventure, Familliale;
278;Percy Jackson: La mer des monstres;106;2013;"Thor Freudenthal
";Logan Lerman, Alexandra Daddario, Brandon T. Jackson;Aventure, Familliale, Fantastique;
279;Lovely Bones;135;2009;"Peter Jackson
";Rachel Weisz, Mark Wahlberg, Saoirse Ronan;Drame, Fantastique;
280;Zero Dark Thirty;157;2012;"Kathryn Bigelow
";Jessica Chastain, Joel Edgerton, Chris Pratt;Drame, Historique, Thriller;
281;Super blonde;97;2008;"Fred Wolf
";Anna Faris, Colin Hanks, Emma Stone;Comedie, Romantique;
282;Hansel et Gretel;88;2013;"Tommy Wirkola
";Jeremy Renner, Gemma Arterton, Peter Stormare;Action, Fantastique, Horreur;
283;The Rocky Horror Picture Show;100;1975;"Jim Sharman
";Tim Curry, Susan Sarandon, Barry Bostwick;Comedie, Musical;
284;Scott Pilgrim;112;2010;"Edgar Wright
";Michael Cera, Mary Elizabeth Winstead, Kieran Culkin;Action, Comedie, Fantastique;
285;Scarface;170;1983;"Brian De Palma
";Al Pacino, Michelle Pfeiffer, Steven Bauer;Crime, Drame;
286;Gangster Squad;113;2013;"Ruben Fleischer
";Sean Penn, Ryan Gosling, Emma Stone;Action, Crime, Drame;
287;Mama;100;2013;"AndrÃ©s Muschietti
";Jessica Chastain, Nikolaj Coster-Waldau, Megan Charpentier;Horreur;
288;Dark Shadows;113;2012;"Tim Burton
";Johnny Depp, Michelle Pfeiffer, Eva Green;Comedie, Horreur;
289;American History X;119;1998;"Tony Kaye
";Edward Norton, Edward Furlong, Beverly D'Angelo;Crime, Drame;
290;The Descendants;115;2011;"Alexander Payne
";George Clooney, Shailene Woodley, Amara Miller;Comedie, Drame;
291;Memento;113;2000;"Christopher Nolan
";Guy Pearce, Carrie-Anne Moss, Joe Pantoliano;MystÃ¨re, Thriller;
292;Evil Dead;91;2013;"Fede Alvarez
";Jane Levy, Shiloh Fernandez, Jessica Lucas;Horreur;
293;Vol au-dessus d'un nid de coucou;133;1975;"Milos Forman
";Jack Nicholson, Louise Fletcher, Michael Berryman;Drame;
294;Full Metal Jacket;116;1987;"Stanley Kubrick
";Matthew Modine, R. Lee Ermey, Vincent D'Onofrio;Drame, Guerre;
295;Star Wars: Ã‰pisode I - La menace fantÃ´me;136;1999;"George Lucas
";Ewan McGregor, Liam Neeson, Natalie Portman;Action, Aventure, Fantastique;
296;Sinister;110;2012;"Scott Derrickson
";Ethan Hawke, Juliet Rylance, James Ransone;Horreur, MystÃ¨re, Thriller;
297;Very Bad Trip 3;100;2013;"Todd Phillips
";Bradley Cooper, Zach Galifianakis, Ed Helms;Comedie;
298;Alien - Le 8Ã¨me passager;117;1979;"Ridley Scott
";Sigourney Weaver, Tom Skerritt, John Hurt;Horreur, Science-Fiction;
299;Superman Returns;154;2006;"Bryan Singer
";Brandon Routh, Kevin Spacey, Kate Bosworth;Action, Aventure, Fantastique;
300;La grande bellezza;142;2013;"Paolo Sorrentino
";Toni Servillo, Carlo Verdone, Sabrina Ferilli;Comedie, Drame;
301;La planÃ¨te des singes: Les origines;105;2011;"Rupert Wyatt
";James Franco, Andy Serkis, Freida Pinto;Action, Drame, Science-Fiction;
302;Top Gun;110;1986;"Tony Scott
";Tom Cruise, Tim Robbins, Kelly McGillis;Action, Drame, Romantique;
303;Riddick;119;2013;"David Twohy
";Vin Diesel, Karl Urban, Katee Sackhoff;Action, Science-Fiction, Thriller;
304;500 jours ensemble;95;2009;"Marc Webb
";Zooey Deschanel, Joseph Gordon-Levitt, Geoffrey Arend;Comedie, Drame, Romantique;
305;Clueless;97;1995;"Amy Heckerling
";Alicia Silverstone, Stacey Dash, Brittany Murphy;Comedie, Romantique;
306;Expendables 2: UnitÃ© spÃ©ciale;103;2012;"Simon West
";Sylvester Stallone, Liam Hemsworth, Randy Couture;Action, Aventure, Thriller;
307;Harry Potter et les reliques de la mort: 1Ã¨re partie;146;2010;"David Yates
";Daniel Radcliffe, Emma Watson, Rupert Grint;Aventure, Familliale, Fantastique;
308;Ce qui vous attend si vous attendez un enfant;110;2012;"Kirk Jones
";Cameron Diaz, Matthew Morrison, J. Todd Smith;Comedie, Drame, Romantique;
309;Flight;138;2012;"Robert Zemeckis
";Denzel Washington, Nadine Velazquez, Don Cheadle;Drame, Thriller;
310;Old Boy;120;2003;"Chan-wook Park
";Min-sik Choi, Ji-tae Yu, Hye-jeong Kang;Drame, MystÃ¨re, Thriller;
311;She's the Man;105;2006;"Andy Fickman
";Amanda Bynes, Laura Ramsey, Channing Tatum;Comedie, Romantique;
312;Outsiders;91;1983;"Francis Ford Coppola
";C. Thomas Howell, Matt Dillon, Ralph Macchio;Crime, Drame;
313;Snatch - Tu braques ou tu raques;104;2000;"Guy Ritchie
";Jason Statham, Brad Pitt, Benicio Del Toro;Comedie, Crime;
314;Le seigneur des anneaux: Les deux tours;179;2002;"Peter Jackson
";Elijah Wood, Ian McKellen, Viggo Mortensen;Action, Aventure, Fantastique;
315;Le cinquiÃ¨me Ã©lÃ©ment;126;1997;"Luc Besson
";Bruce Willis, Milla Jovovich, Gary Oldman;Action, Aventure, Science-Fiction;
316;Jack Reacher;130;2012;"Christopher McQuarrie
";Tom Cruise, Rosamund Pike, Richard Jenkins;Action, Crime, Thriller;
317;Monstres et Cie;92;2001;"Pete Docter
, David Silverman
, Lee Unkrich
";Billy Crystal, John Goodman, Mary Gibbs;Animation, Aventure, Comedie;
318;Independence Day;145;1996;"Roland Emmerich
";Will Smith, Bill Pullman, Jeff Goldblum;Action, Aventure, Science-Fiction;
319;Frangins malgrÃ© eux;98;2008;"Adam McKay
";Will Ferrell, John C. Reilly, Mary Steenburgen;Comedie;
320;Will Hunting;126;1997;"Gus Van Sant
";Robin Williams, Matt Damon, Ben Affleck;Drame;
321;Sexe entre amis;109;2011;"Will Gluck
";Mila Kunis, Justin Timberlake, Patricia Clarkson;Comedie, Romantique;
322;Harry Potter et la chambre des secrets;161;2002;"Chris Columbus
";Daniel Radcliffe, Rupert Grint, Emma Watson;Aventure, Familliale, Fantastique;
323;2 Guns;109;2013;"Baltasar KormÃ¡kur
";Denzel Washington, Mark Wahlberg, Paula Patton;Action, Comedie, Crime;
324;Copains pour toujours;102;2010;"Dennis Dugan
";Adam Sandler, Salma Hayek, Kevin James;Comedie;
325;Girl Next Door;108;2004;"Luke Greenfield
";Emile Hirsch, Nicholas Downs, Elisha Cuthbert;Comedie, Drame, Romantique;
326;RomÃ©o + Juliette;120;1996;"Baz Luhrmann
";Leonardo DiCaprio, Claire Danes, John Leguizamo;Drame, Romantique;
327;127 heures;94;2010;"Danny Boyle
";James Franco, Amber Tamblyn, Kate Mara;Aventure, Biopic, Drame;
328;La ligne verte;189;1999;"Frank Darabont
";Tom Hanks, Michael Clarke Duncan, David Morse;Crime, Drame, Fantastique;
329;Insidious;103;2010;"James Wan
";Patrick Wilson, Rose Byrne, Ty Simpkins;Horreur, Thriller;
330;Blanche Neige et le chasseur;127;2012;"Rupert Sanders
";Kristen Stewart, Chris Hemsworth, Charlize Theron;Aventure, Drame, Fantastique;
331;FBI - Fausses blondes infiltrÃ©es;109;2004;"Keenen Ivory Wayans
";Marlon Wayans, Shawn Wayans, Busy Philipps;Crime, Comedie;
332;Transformers;144;2007;"Michael Bay
";Shia LaBeouf, Megan Fox, Josh Duhamel;Action, Aventure, Science-Fiction;
333;Des hommes sans loi;116;2012;"John Hillcoat
";Tom Hardy, Shia LaBeouf, Guy Pearce;Crime, Drame;
334;Les immortels;110;2011;"Tarsem Singh
";Henry Cavill, Mickey Rourke, John Hurt;Action, Drame, Fantastique;
335;The Lucky One;101;2012;"Scott Hicks
";Zac Efron, Taylor Schilling, Blythe Danner;Drame, Romantique;
336;Eternal Sunshine of the Spotless Mind;108;2004;"Michel Gondry
";Jim Carrey, Kate Winslet, Tom Wilkinson;Drame, Romantique, Science-Fiction;
337;Flash Gordon;111;1980;"Mike Hodges
";Sam J. Jones, Melody Anderson, Max von Sydow;Action, Aventure, Fantastique;
338;Apocalypse Now;153;1979;"Francis Ford Coppola
";Martin Sheen, Marlon Brando, Robert Duvall;Drame, Guerre;
339;Le labyrinthe de Pan;118;2006;"Guillermo del Toro
";Ivana Baquero, Ariadna Gil, Sergi LÃ³pez;Drame, Fantastique, Guerre;
340;Le bon, la brute et le truand;161;1966;"Sergio Leone
";Clint Eastwood, Eli Wallach, Lee Van Cleef;Aventure, Western;
341;La maison des 1000 morts;89;2003;"Rob Zombie
";Sid Haig, Karen Black, Bill Moseley;Horreur;
342;La chute;156;2004;"Oliver Hirschbiegel
";Bruno Ganz, Alexandra Maria Lara, Ulrich Matthes;Biopic, Drame, Historique;
343;After Earth;100;2013;"M. Night Shyamalan
";Jaden Smith, David Denman, Will Smith;Action, Aventure, Science-Fiction;
344;La folle journÃ©e de Ferris Bueller;103;1986;"John Hughes
";Matthew Broderick, Alan Ruck, Mia Sara;Comedie, Drame;
345;PrÃ©sentateur vedette: La lÃ©gende de Ron Burgundy;94;2004;"Adam McKay
";Will Ferrell, Christina Applegate, Steve Carell;Comedie;
346;Minuit Ã  Paris;94;2011;"Woody Allen
";Owen Wilson, Rachel McAdams, Kathy Bates;Comedie, Fantastique, Romantique;
347;Un grand mariage;89;2013;"Justin Zackham
";Robert De Niro, Diane Keaton, Katherine Heigl;Comedie;
348;Les Trois Mousquetaires;110;2011;"Paul W.S. Anderson
";Logan Lerman, Matthew Macfadyen, Ray Stevenson;Action, Aventure, Romantique;
349;DÃ©lire express;111;2008;"David Gordon Green
";Seth Rogen, James Franco, Gary Cole;Action, Comedie, Crime;
350;Odd Thomas;100;2013;"Stephen Sommers
";Anton Yelchin, Ashley Sommers, Addison Timlin;Comedie, Horreur, MystÃ¨re;
351;Footloose;107;1984;"Herbert Ross
";Kevin Bacon, Lori Singer, John Lithgow;Drame, Music, Romantique;
352;Effets secondaires;106;2013;"Steven Soderbergh
";Rooney Mara, Channing Tatum, Jude Law;Crime, Drame, Thriller;
353;Le parrain, 3Ã¨me partie;162;1990;"Francis Ford Coppola
";Al Pacino, Diane Keaton, Andy Garcia;Crime, Drame, MystÃ¨re;
354;Le choc des Titans;106;2010;"Louis Leterrier
";Sam Worthington, Liam Neeson, Ralph Fiennes;Action, Aventure, Fantastique;
355;Trance;101;2013;"Danny Boyle
";James McAvoy, Rosario Dawson, Vincent Cassel;Crime, Drame, MystÃ¨re;
356;10 bonnes raisons de te larguer;97;1999;"Gil Junger
";Heath Ledger, Julia Stiles, Joseph Gordon-Levitt;Comedie, Drame, Romantique;
357;Dangereusement vÃ´tre;131;1985;"John Glen
";Roger Moore, Christopher Walken, Tanya Roberts;Action, Aventure, Crime;
358;The Bling Ring;90;2013;"Sofia Coppola
";Katie Chang, Israel Broussard, Emma Watson;Biopic, Crime, Drame;
359;Hulk;138;2003;"Ang Lee
";Eric Bana, Jennifer Connelly, Sam Elliott;Action, Science-Fiction;
360;40 ans, toujours puceau;116;2005;"Judd Apatow
";Steve Carell, Catherine Keener, Paul Rudd;Comedie, Romantique;
361;Le diable s'habille en Prada;109;2006;"David Frankel
";Anne Hathaway, Meryl Streep, Adrian Grenier;Comedie, Drame, Romantique;
362;Eyes Wide Shut;159;1999;"Stanley Kubrick
";Tom Cruise, Nicole Kidman, Todd Field;Drame, MystÃ¨re, Thriller;
363;Source Code;93;2011;"Duncan Jones
";Jake Gyllenhaal, Michelle Monaghan, Vera Farmiga;MystÃ¨re, Science-Fiction, Thriller;
364;The Machinist;101;2004;"Brad Anderson
";Christian Bale, Jennifer Jason Leigh, Aitana SÃ¡nchez-GijÃ³n;Drame, Thriller;
365;Le voyage de Chihiro;125;2001;"Hayao Miyazaki
";Daveigh Chase, Suzanne Pleshette, Miyu Irino;Animation, Aventure, Familliale;
366;Je te promets - The Vow;104;2012;"Michael Sucsy
";Rachel McAdams, Channing Tatum, Sam Neill;Drame, Romantique;
367;Transformers 3: La face cachÃ©e de la lune;154;2011;"Michael Bay
";Shia LaBeouf, Rosie Huntington-Whiteley, Tyrese Gibson;Action, Aventure, Science-Fiction;
368;Un havre de paix;115;2013;"Lasse HallstrÃ¶m
";Julianne Hough, Josh Duhamel, Cobie Smulders;Drame, MystÃ¨re, Romantique;
369;Terminator;107;1984;"James Cameron
";Arnold Schwarzenegger, Linda Hamilton, Michael Biehn;Action, Science-Fiction;
